"","ctrl.tlsp","ko.tlsp"
"Gsap",-0.248135426011626,-0.247722750952361
"Timp1",-0.0599060567015097,-0.0635003545340847
"F2rl1",-0.150030360641618,0.33662253277074
"Rab15",-0.998231283817248,-0.30092803255217
"Il1rl1",-0.134334213242667,0.168172476316183
"Slc6a12",-0.250753124190869,-0.392440537388027
"Exoc3l4",-0.498012149148436,-0.247677243043125
"Flt1",-0.116376648204008,0.0420887580665621
"Nptx1",0.251453265502065,0.976851203678128
"Mmp9",-0.732190712777915,-0.611661903907084
"Acpp",-0.676511405764431,-0.339830455712345
"Kcnq5",-0.17401746486734,0.126933049440818
"Pilra",-0.81292853667986,-0.864343205944128
"Prokr2",-0.511070586804598,-0.296328648398852
"Mmp1b",-0.584270421602522,-0.53533683755156
"Mmp3",-0.643673079666229,-0.808977463571364
"Rasl12",-0.14722082716021,-0.818018397252418
"Rbfox1",-0.328680132984162,0.0743712734898877
"U90926",-0.39524018464281,-0.512668620681922
"ENSMUSG00000097804",-0.49937468316182,-0.310270337901753
"Tmem132e",0.0731680853591489,-0.0687003353120568
"Fpr2",-0.443152157743257,-0.628320720383255
"Itgal",-0.755460904082296,-0.851698874441679
"Kcnn3",-0.569566444259809,-0.295130560501511
"Ptges",-0.483711731526173,-0.616645937622065
"Fpr1",-0.923746656039075,-0.839456740631052
"Ccl5",-0.880131086889586,-0.492155395049832
"Lcn2",-0.959087590022534,-0.713379668921711
"Steap4",-0.524158617783964,-0.744526816010677
