"","I_L_0","I_L_0.5","I_L_1","I_L_2","I_L_4","I_L_8","I_T_0","I_T_0.5","I_T_1","I_T_2","I_T_4","I_T_8","D_L_0","D_L_0.5","D_L_1","D_L_2","D_L_4","D_L_8","D_T_0","D_T_0.5","D_T_1","D_T_2","D_T_4","D_T_8"
"4930523C07Rik",12.4375688428997,12.2398189475931,33.4458199565498,62.5194640567346,37.3294617975497,22.8124887295443,12.4375688428997,31.846372208442,76.2857458781816,40.4231695562847,12.5711837362098,2.52469024582637,13.8718566243673,16.6693687315825,36.9218087852922,79.5978974929894,60.3963716062602,42.7740020479674,13.8718566243673,29.9774423987872,77.6518398344258,84.104888499071,31.3060755730281,12.7863812220946
"Acpp",0.0601184164472445,0.425532929485859,0.688481031414786,1.83530355831677,4.9332839517706,1.95535617681808,0.0601184164472445,0.975399260976248,1.21355982887363,1.16499815030068,0.876160475401965,0.199317650986292,1.03525243466668,0.814011742240942,1.48609477038244,4.61497736147094,4.46274933701569,5.83281846108646,1.03525243466668,1.11742150818503,1.14046880271462,5.70074551786085,2.4903567372832,2.81752584981546
"Adarb1",14.0659700216866,18.8078290243416,15.8090461439306,31.8373993401818,34.0242480561066,21.7261797424231,14.0659700216866,24.5421932659832,19.0667866304456,24.8667811594913,19.2721423270714,2.62434907131951,15.8420128615959,19.726896274892,17.8505235527447,50.07735155173,73.6861766478242,30.2442438723002,15.8420128615959,18.6269680833538,22.1698923696326,32.6763379438572,26.5964186667133,24.7043413218773
"Adtrp",0.0838188540453913,0.0977024990522135,4.4731717104842,6.76877846586572,6.17149610457217,0.217261797424231,0.0838188540453913,4.89338671138347,10.8305021603707,2.2095979036639,0.149958716365385,0,0.160315782325877,0.213231539000348,3.64419714593829,8.59032626658079,5.74047655140104,0.648090940120718,0.160315782325877,5.52138509368744,14.2577246361494,10.8303889426658,1.66203183776912,0.8046120552372
"Angptl4",7.48300820277818,7.62257127247304,31.52304726898,43.075916973859,24.1981090569459,52.7946167740881,7.48300820277818,24.0701366938423,27.8406019806937,23.4706898704855,32.3421424736502,4.68396479817786,18.2226465336014,6.7419210922107,36.7536314876701,83.4390244662112,139.356755696487,132.858642724747,18.2226465336014,23.848936430291,36.0491609619014,48.6633241174001,93.4793632401229,71.0887702588778
"Arc",2.46947920005874,2.2955527531641,6.25533186344423,2.75608432399879,0.549233179547577,2.60714156909077,2.46947920005874,3.49135573762262,4.15389805242971,3.92390643963943,1.31424071310295,0.099658825493146,6.32052672563722,3.88558918077431,2.72136331566809,3.50930376956501,1.93439146241423,1.29618188024144,6.32052672563722,6.40065778800161,2.88688834551716,4.92299666416023,3.60441154493813,3.8080304803359
"Arg2",0.0901776246708667,5.96433478526315,8.10601967467413,1.36778001732706,1.50548391167704,0.217261797424231,0.0901776246708667,12.9393383534945,3.70194123766691,0.42830134036228,0.299917432730769,0.0332196084977154,0.0869580416144665,6.17045189843234,3.81455230091809,1.03560614525825,1.94347159779366,0.432060626747145,0.0869580416144665,3.82655927393867,3.82338665219323,0.892041465446027,0,0.0929462876416199
"Arid5a",11.4415658727231,30.8657476597218,86.4676789143394,34.6225527296105,13.7075600793649,16.2946348068173,11.4415658727231,55.022772773502,77.0585607063014,17.5496911264665,12.3066540376645,2.29215298634236,24.0016296308018,34.7538504040209,87.5054359653568,58.3482543467187,52.7498948143358,49.9030023892953,24.0016296308018,68.2706930910684,81.9508709517241,38.9857731800233,26.4545310282447,30.8096590856573
"Atf3",22.3322570652476,157.76371876989,121.412934608625,10.0702279584693,8.22621319579679,2.38987977166654,22.3322570652476,91.3541963740473,45.7825027404092,13.4105388847585,12.0404928230396,0.232537259484007,19.5816280718434,79.4022360162208,74.4468180791577,9.87820261732368,11.6246528972133,3.45648501397716,19.5816280718434,126.512064320008,27.8330614825481,5.70387866957694,10.5544149203783,2.81752584981546
"Atp2b4",37.1959294214824,38.0593679172874,112.641541057725,339.499085157202,228.369530642808,81.9076976289351,37.1959294214824,131.947381449295,299.426756858736,181.028422470112,72.2241345640738,11.5272041487072,29.0940313014442,28.9941339363348,121.947513949572,466.970226934036,427.031384506492,64.8090940120718,29.0940313014442,93.2372399748752,319.788100500617,315.755521736106,148.647836222904,55.3600123657887
"B4galt5",116.329701288213,135.210341728877,115.676896009309,200.575892076454,93.7997334783559,40.6279561183312,116.329701288213,156.706594068176,75.6185297801796,159.337137597668,77.7492654460277,3.2555216327761,144.177433431582,136.857516189849,114.63376005613,380.347741077201,222.422132622048,79.4991553214747,144.177433431582,158.762961954189,149.520339219555,337.308700405477,131.325952601132,45.6117214153007
"Bahcc1",76.1803936874325,64.9805455081996,81.1150835833227,174.602933341478,121.918780947654,88.6428133490863,76.1803936874325,83.006603191823,123.490155291083,110.981912897941,105.486233026935,14.2179924370222,81.1577470483597,74.4646773691801,76.4693379160445,193.787319999668,164.763860038587,87.4922769162969,81.1577470483597,98.45380465747,131.041710774352,195.918839603981,90.0261306348017,100.50146771694
"Bcl3",22.3247338945781,34.423498365419,94.5861340899926,175.169342538591,84.574500150549,45.1904538642401,22.3247338945781,165.580951419523,115.594741774341,64.3413930834931,26.3269782597882,2.02639611836064,33.3770294165757,33.545588496094,115.838538598407,352.389684133346,180.035614998998,106.286914179798,33.3770294165757,160.181041265593,149.818725308211,216.205044733162,54.3391843735273,34.8354866748139
"Bdkrb2",0.311574978583418,1.33253844754853,1.81208771899338,2.53047140595876,2.24964611998762,1.52083258196962,0.311574978583418,2.83725353524155,3.02877463031484,1.00176373564818,1.31424071310295,0.332196084977154,0.991773413859443,1.39134956541963,2.23421773095732,3.72487853241098,3.3650424585593,6.04884877446003,0.991773413859443,2.11651307975234,3.76291909496127,2.69036905027222,2.28193000271944,4.9525231526022
"Birc3",29.5585952070485,83.2477080511294,133.669037639553,149.97594404041,122.707988382466,47.1458100410581,29.5585952070485,211.783950060443,184.12070986296,48.8575906008158,36.0405386054323,4.1192314537167,40.8712799935955,81.8216731879126,168.747115382434,230.125893038486,201.85412594531,134.154824604989,40.8712799935955,214.078139978214,209.030696507278,178.92565598336,68.9564478415653,32.5728712378776
"Btg2",35.7964583314073,71.2226395319242,208.584234722072,41.7976665789307,32.5887017101623,40.6279561183312,35.7964583314073,141.726440014861,88.3555572148303,26.3886665309106,54.4685200595154,6.34494522306363,55.6675376585452,57.728958496878,117.857959688382,45.0420806731177,56.4754095006603,32.6205773194095,55.6675376585452,114.60724209471,59.7308385612047,35.0751100472368,54.3068921410815,25.3258281148018
"Ccdc88c",2.78220901455637,7.33859459569578,15.4259556449858,29.9944769246939,21.5806393721272,5.64880673303001,2.78220901455637,8.17550263162629,14.9674754408262,20.2841663453044,17.3682311438224,0.49829412746573,5.48639097600559,3.80919246509186,3.29913112126315,21.706389919158,10.9858612160052,1.72824250698858,5.48639097600559,4.0968812816854,6.69930987748114,22.2941057979821,8.03714798939035,3.15740646684456
"Ccl1",0,0.057757482568503,0.447708169790802,1.01286883009692,0.398437805053944,0,0,0.586982603788354,0.312746092081206,0.149311639745654,0,0,0,0.0338481845289291,0.549492210650899,1.13280968876119,0.125971079559555,0,0,0.228249979573545,1.1238617263997,1.14372124945508,0.20842673456376,0
"Ccl2",10.8467404788761,23.3315361273332,220.448574727853,187.778004595409,135.785716149041,194.883832289535,10.8467404788761,204.942942144901,191.091246604661,72.1981285540996,24.1584122783814,4.15245106221442,21.8433278782031,33.1631537104557,158.771172950938,293.288148587473,516.395638036625,466.84150720029,21.8433278782031,215.929243214071,276.478977272247,239.612816070723,175.924828257052,72.6633225228443
"Ccl3",2.63885155305328,8.77341854068048,27.7982117219773,14.4593778041327,14.3094419918302,1.95535617681808,2.63885155305328,1.99065204689012,0.730853362895451,1.35962218107815,1.61415814583372,0.132878433990861,2.71733394524572,6.03827448550019,8.3699558543163,6.12752200657247,17.7152268732784,9.72136410181077,2.71733394524572,1.33463965406218,2.04971370478857,1.79424553180891,2.37537929251941,1.2693434934453
"Ccl5",0.0601184164472445,0.137647515535924,15.7769136931845,73.4753922540315,69.8627215971373,2.60714156909077,0.0601184164472445,2.82967901255723,8.13473583822927,8.14401593077534,1.04971101455769,0.099658825493146,0.217395104036166,0.492185629893997,10.2924770062797,96.410977463361,136.920493843401,36.2930926467602,0.217395104036166,2.05669637131016,22.1413637972622,94.2290311406386,20.232066592574,2.6635378080696
"Ccl7",12.3335140589988,15.8722619853783,110.109692407926,65.5809498671034,56.6911986276712,68.8719897834812,12.3335140589988,73.9812757976682,56.4709435614815,27.8206479943531,25.5232247688369,6.7103609165385,20.9659228181769,28.4318819525339,96.5735337131396,102.125510188079,174.745261213404,122.489187682816,20.9659228181769,92.6777285213561,91.9901458154848,80.5258431886609,82.6710287891794,40.9352698126529
"Cd274",3.39958001008728,8.80433969277927,5.94688389490592,10.1932098873268,7.65247569029501,4.12797415106039,3.39958001008728,4.75935649253993,4.0723740852915,10.8107251131278,6.40944893775418,0.4318549104703,3.69282894010404,4.84204368089078,6.02411201562527,15.7005730174504,19.9109283341293,6.91297002795432,3.69282894010404,3.1509186269714,7.34411672628457,21.7052613601318,6.19898164950321,1.2693434934453
"Cebpb",3.85162296935582,3.94672168230496,10.5593158066426,5.57937956160291,4.42083959559409,7.38690111242386,3.85162296935582,5.34769071703586,7.58004263469713,4.95254585375718,8.8054002678285,0.564733344461161,10.0403465571346,7.32425477612051,12.6332269942337,15.9451028207024,27.017775674174,24.6274557245873,10.0403465571346,9.37448804863936,14.8984834885775,7.64164800095495,15.3663305627714,20.0042871246036
"Cgn",1.7191538303824,1.15010752807887,2.50838872525581,4.29756799754753,4.57163497008772,7.16963931499962,1.7191538303824,2.57018355331247,3.69145380254371,2.12215590001036,0.828976829821281,0.332196084977154,2.87476189906081,1.9305830394861,3.05410033221815,7.15907527974089,8.38500611033727,6.69693971458075,2.87476189906081,3.03531361288836,7.60323161541149,9.12851733334407,6.54048657625733,2.57059152042798
"Ch25h",2.61457130646559,2.61020536912182,9.8448171966183,6.03913427092096,5.34153642098213,9.99404268151463,2.61457130646559,5.49920294670827,3.79681498127675,5.60682535948999,3.79276342294346,0.664392169954307,3.93453681743553,4.75862954333726,9.25798051756905,11.9940251927031,37.481448449213,33.0526379461566,3.93453681743553,8.07213937362118,10.0389560718186,6.7976614729154,12.4591203563606,8.91730898765448
"Creb5",28.3643298577626,77.2125696991426,88.7467307149469,77.8151492877323,63.7243095660473,4.12797415106039,28.3643298577626,90.3647851864538,138.121261530155,79.697828163053,24.1753529372406,0.797270603945168,25.6196460174399,98.4472569616094,103.249570336644,77.7156876669278,32.7962989907216,10.3694550419315,25.6196460174399,101.205626387663,152.246161174125,108.165912476489,49.0937872909137,6.16359220491378
"Csf1",195.873175711781,185.919415923552,618.513261097685,1201.48041491991,755.862243014079,494.48785093755,195.873175711781,1294.53071052599,1685.27843120891,443.098500453431,234.030470440728,37.7042556449069,180.241564011284,174.085724987725,676.942174270022,1634.71711148341,1327.2161639987,955.502076051311,180.241564011284,1179.96918639541,1448.58188279034,1316.43184441915,445.071645604402,249.283729283192
"Csf3",0.167637708090783,0.057757482568503,0.080257620541328,0.321057790797142,0.318750244043156,0.217261797424231,0.167637708090783,0,0.367095403506679,0.0248852732909423,0,0.0664392169954307,0,0.0987155141600772,0.120337537164744,2.36594694768737,2.72610692538209,0.86412125349429,0,0.018308727959198,0.451801472994144,0.149370230563809,0,0
"Cx3cl1",3.19090019742568,2.96991425331637,18.0571120704433,47.0133511466187,27.7975040475984,3.4761887587877,3.19090019742568,13.7282736013754,22.9115135862968,16.3972352823042,6.55099987449624,0.398635301972584,10.2066477068948,4.86494934230844,9.63641598792536,69.9653435605187,43.2498846665977,7.56106096807504,10.2066477068948,12.9882202987656,22.5496235812814,57.2678877503947,18.7226864707554,5.51296819142244
