"","rmsd","n","delta","gene","kb","kt","Kd","k_deg","tau"
"1",0.054164180159386,6,-0.00996397235533561,"Glrx",0.0372732400183819,0.225248084917105,0.593676683700511,0.00267847112870466,120
"2",0.0617438191181049,5,-0.0231659942676609,"Mmp3",4.44145315561039,949.627882266572,0.528376206671067,0.000995298834066563,120
"3",0.0731453985939585,5,-0.00443625473404607,"Il1rap",0.0400050676968662,0.110201512159105,0.0579310633941174,0.00281112071502402,69.1001899952313
"4",0.0763642488746511,3,-0.0429249263082661,"Cebpb",0.00540837594425028,0.417992827076313,2.35204050847761,0.0160821621903165,56.4809690731813
"5",0.0792436854830626,6,-0.00656602329448976,"Mmp1b",0.0230575766816776,0.503728284149943,0.430185027887317,0.00229751252278239,82.2918874434409
"6",0.0814659817178401,5,-0.00283125460258218,"Rab15",0.0563919061340616,0.152403171388734,0.0408006999549613,0.00252485373125996,120
"7",0.0830795747051853,5,-0.0337298368600048,"Ccl7",0.0577753040641043,0.679655397426485,0.595941100070962,0.0118487744193062,24.3188527741667
"8",0.0894087651284817,5,-0.0314789443846958,"Tnip1",0.042575268218112,0.274643960644318,0.57163926729083,0.0078423152800566,64.5970474701707
"9",0.0907179830263227,5,-0.0289576735826371,"Ccl2",0.0026963956537167,0.059743543919298,0.502530808656756,0.0120093077463579,32.731618173798
"10",0.0919009806626031,6,-0.0656304488701825,"Tmem132e",0.0050229183257033,0.175116683693907,0.721872526721279,0.00695618180069465,93.737837601897
"11",0.0920255944851197,1,0,"Mmp9",0.00100000001665931,981.171946295209,1.37238986056928,0.00218540061662396,78.7537863701416
"12",0.0931741904152849,1,0,"Timp1",0.00101798272378159,13.0386539656055,560.538591646549,0.00210383132104319,57.575730482955
"13",0.0951717291141423,1,0,"Rbfox1",0.0313796268931481,3.40814417170576,0.250257180690709,0.00642686530241965,120
"14",0.0991046969727974,2,-0.0233563641941743,"Il34",0.0176660972432412,0.890119481118197,2.31952281235952,0.00615866062415507,84.2510996737935
"15",0.100456627497167,6,-0.0430774091414813,"ENSMUSG00000097804",0.0196892574377621,1.24089420013196,0.56701664102405,0.0119015631529896,93.3961202240271
"16",0.101392993800964,1,0,"U90926",0.0104358534381583,369.22836596468,999.90496701802,0.00287314586977629,119.999999998227
"17",0.102997421688485,6,-0.168882413251515,"Oasl1",0.0260075353141052,8.49479555094133,1.67063172177757,0.021239059748769,43.1617078687779
"18",0.103950557673522,1,0,"Slco3a1",0.00486712520205367,81.6817236354453,0.13369240787743,0.00503870180548424,110.230760975193
"19",0.105101802216638,3,-0.047365867243356,"Bcl3",0.0126970517112271,0.874258544518081,1.407738933005,0.0231512203501337,58.4798579739699
"20",0.106805667539848,3,-0.0118522024494799,"ENSMUSG00000041481",0.0325474889769842,0.423052364550271,0.809018596702339,0.00742468265485935,70.9620251337247
"21",0.107741292898744,1,0,"Kcnn3",0.001,47.9766943134253,0.16691513770981,0.0112135647905803,120
"22",0.119650640173299,5,-0.0176796429465842,"Il1rl1",0.00195316600288186,12.7439265534204,0.0341127135425171,0.00305838713494849,59.3206749208083
"23",0.124931983077533,2,-0.00767849903399163,"Gch1",0.00784313074079398,0.635385134110064,0.963546580215148,0.00999488312810033,73.0413543555473
"24",0.125195100212864,2,-0.0205987251954555,"Trim47",0.00421490882078077,3.27155974856626,9.97761933251782,0.0130815641608158,48.8945497225262
"25",0.127798440219702,6,-0.113642017152046,"Ifih1",0.0015320844826811,12.094279083668,2.65164929459598,0.00618674357905287,0.103119419618933
"26",0.127874328901476,4,-0.0326321484499464,"Nfkb1",0.0193543919284123,0.506407908843766,1.10967284380211,0.00771763889271633,58.6357019153826
"27",0.128943509015833,3,-0.0227489964870684,"Angptl4",0.0166387130988902,0.921056240470744,1.62416332618491,0.00873640492322975,65.4076329642373
"28",0.130763642436005,5,-0.00128093099080959,"Slco2a1",0.0534748321717261,0.904000890855953,0.0437143109850175,0.0033383129284281,83.2784256886413
"29",0.133513820436346,2,-0.0209620084947165,"Gbp2",0.00267105580035598,3.93129916703709,8.71795968193461,0.00412293955085223,74.354047950674
"30",0.134155501315781,6,-0.0642094392106398,"Tnfsf11",0.0085668523031519,1.2232734315024,1.29903331762781,0.0081749017881995,66.2931370823602
"31",0.140386601250273,1,0,"Mt2",0.00596882075370873,0.317303449986551,1.30930420900548,0.00389392451063973,52.5334062849351
"32",0.140423651032653,5,-0.0584401863254569,"Jak2",0.0582365434979342,0.451953358360057,0.732382582340832,0.00681459201591358,54.2843833786376
"33",0.140626367648049,4,-0.0224784705753311,"Slc7a2",0.0280844850533147,0.459233719136135,0.65328840091438,0.00408234675631913,64.6224898748897
"34",0.141890900896001,3,-0.0466019731571366,"Itpkc",0.00553708160240481,6.47620153945002,6.66935128221895,0.0193273996822799,25.4122120440527
"35",0.142139368563547,2,-0.0189000558250243,"Bdkrb2",0.00122925075387484,5.2417014432394,18.3861185193176,0.0167948530337847,90.7873390914143
"36",0.143127966993549,1,0,"Rffl",0.00200882274995858,4.40125029659395,262.848010978726,0.00979432094211414,72.481282398842
"37",0.14361752755688,6,-0.043673359739633,"Icam1",0.0352897744624562,1.232187808539,0.785878528095818,0.0057859352173862,50.7679947236574
"38",0.151689965267218,6,-0.0670380881354803,"Ch25h",0.042701317971342,0.267553292036866,0.643342545859688,0.0307968616782069,95.4476791241412
"39",0.152627952217822,6,-0.0681357564710058,"Steap4",0.001,1000,2.25160619231336,0.00298326365320914,67.5245531324994
"40",0.154089852184432,6,-0.043505300514353,"Cx3cl1",0.00656303451186368,600.286653584427,2.80780769433935,0.00194803333664005,61.4245439638162
"41",0.154355602047941,3,-0.0186987369434013,"Rab20",0.0173321285629502,1.14188940158126,2.29758957298034,0.0173178578999385,59.7759037990164
"42",0.154535610272297,6,-0.0701014607045634,"Tnfaip2",0.0431877669567304,4.24861154972262,0.923903789922745,0.00623260456880312,46.7040723902054
"43",0.15455738520793,3,-0.0537415782462805,"Gadd45b",0.001,26.7826550209198,15.1119391898553,0.0219042401477075,22.8537988887848
"44",0.156761048406242,3,-0.00102268663346841,"Tmem158",0.0242503810874796,0.0770824259879347,0.233673782519105,0.00605150063953542,82.3688556801428
"45",0.157112599534759,5,-0.0529598865063297,"Pdgfb",0.00622063623076019,0.331160954822162,0.80199620151079,0.0127017362802778,62.5526695057724
"46",0.157721966646711,3,-0.0650183132286851,"Pim1",0.00116623623921062,16.9332551198407,9.26557938892869,0.0146295822239872,4.43036941550465
"47",0.157767411003843,5,-0.0111500097315066,"Sik1",0.0480661765433547,0.175078842784475,0.508875507274234,0.0263871976874626,43.7757959171015
"48",0.157817495889362,5,-0.00250151602772561,"Il1r1",0.066290603069287,0.191614612797719,0.050447350355367,0.0078423152800566,59.0028072265516
"49",0.158714071992617,1,0,"Prokr2",0.0180501759545887,428.079976042738,989.752605654691,0.00759735833868599,61.9015558545509
"50",0.158828877378197,6,-0.00509051442368955,"Ikbke",0.0411205385012738,0.231863911083331,0.163807159440352,0.00336753174660917,3.91662079844836
"51",0.159663049120034,6,-0.0152007008625219,"Pilra",0.0425115801851106,0.310155427116457,0.368276500146351,0.0067802654824334,120
"52",0.160291442427287,1,0,"Nfkb2",0.00102412472055607,12.2727089861242,1000,0.00588226033581438,34.5362631529832
"53",0.161308538225297,1,0,"Flt1",0.00136554028767463,14.5280977700839,1000,0.00324161390971685,47.2149438822033
"54",0.161634124746069,3,-0.0317981278271892,"Rab11fip1",0.00376645865561555,120.737671010712,14.7097441127394,0.0139201514210687,50.8294554705712
"55",0.16325067310362,6,-0.0497226999210239,"Ptges",0.00124674665596545,999.996630772814,0.839253804931316,0.00358704749138739,89.2632831778984
"56",0.169934319721383,4,-0.0751415030618368,"Rel",0.00100005835005709,22.6807121744214,7.33409293530318,0.0193273996822799,32.3230162406538
"57",0.171299507102363,3,-0.0589969512821007,"Klf10",0.00100017670655628,414.818375076751,34.3111906047506,0.0313043937562026,37.2533331755717
"58",0.176717872424104,6,-0.00622181319992499,"Rasl12",0.058423881648742,0.162159342838548,0.381160124752239,0.0220052710399781,120
