"","b1.TL.ctrl","b1.IL.ctrl","b1.TI.ctrl","b1.TL.ko","b1.IL.ko","b1.TI.ko","b2.TL.ctrl","b2.IL.ctrl","b2.TI.ctrl","b2.TL.ko","b2.IL.ko","b2.TI.ko"
"Egr4",1.95301283774575,1.37402159517458,0.578991242571168,1.59510296053879,1.06823466357059,0.526868296968201,1.60439245683315,0.301028055633556,1.30336440119959,0.983751438162448,0.391865359362302,0.591886078800146
"Fosb",0.690003715694749,0.428098549024945,0.261905166669803,0.163296358917323,0.384501485847539,-0.221205126930216,0.359548236381774,0.225818944040673,0.133729292341101,-0.150989659533879,-0.263633973874702,0.112644314340823
"ENSMUSG00000090582",1.46582759944037,1.34790025442999,0.117927345010377,-0.0746274473873186,0.352054284034401,-0.426681731421719,1.12526136642371,0.521255189427131,0.604006176996583,0.761489054055707,0.431594522847165,0.329894531208542
"Fos",0.250890946676391,-0.042867466822254,0.293758413498645,0.278633539388996,0.354707409728503,-0.0760738703395063,0.0393433427626358,-0.0111291493235494,0.0504724920861851,-0.264430058807362,-0.540209449479998,0.275779390672636
"Rgs1",-0.857855682200377,-1.69076112657038,0.832905444370002,-1.12363806344434,-1.63470680751941,0.511068744075065,-0.79820715618675,-0.877396433765088,0.0791892775783377,-1.16516243577345,-1.02253865996368,-0.142623775809772
"Atf3",0.63170692753416,0.263289368954797,0.368417558579363,0.683704044662536,0.460082984658763,0.223621060003773,0.428074079254188,-0.196504627230009,0.624578706484198,-0.114580938891659,-0.331931694273899,0.217350755382241
"Egr1",0.29905294926893,0.108683917483769,0.190369031785161,0.144467456306213,0.200967545887393,-0.0565000895811799,0.157097828225255,0.392934462856762,-0.235836634631507,0.0591713329109233,-0.0688954327339674,0.128066765644891
"Nr4a1",0.369017940379564,0.133378945376542,0.235638995003022,0.125567662960957,0.175976647287282,-0.0504089843263247,0.347906634416865,0.316535308837557,0.0313713255793079,0.134750412014137,0.0656833403812682,0.0690670716328687
"Zfp36",0.543215655186913,0.213695427189906,0.329520227997007,0.402421916005488,0.220957814407737,0.181464101597751,0.469269064043777,0.0628198386247577,0.406449225419019,-0.13397081382837,-0.597917002123112,0.463946188294741
"Egr2",0.167874661670904,-0.0917818522997517,0.259656513970655,0.0812398573999953,0.0599162113404481,0.0213236460595474,-0.0408477533880725,-0.0866319340137784,0.0457841806257057,0.0992273423750923,-0.231957397450455,0.331184739825547
"Ppp1r15a",0.541296026094163,0.26616252584778,0.275133500246383,0.389892155542176,0.299305197132474,0.0905869584097023,0.139746019160353,-0.241385891171332,0.381131910331685,0.0896421703927766,-0.367237303868696,0.456879474261472
"Frat2",-0.066702014070742,0.292800466414594,-0.359502480485336,0.239049067678672,0.170615353425137,0.0684337142535352,-0.489902547068397,0.228931960466255,-0.718834507534652,-0.28783957002805,-0.0595556131418353,-0.228283956886214
"Egr3",0.193238341589948,0.0292617645168852,0.163976577073063,-0.0968377551091305,0.170826726117458,-0.267664481226589,-0.0631140090004016,-0.206229088623388,0.143115079622986,0.482089406273986,0.0094312500509824,0.472658156223004
"Dusp1",0.328480278218165,-0.0211739738408827,0.349654252059048,0.231645856040294,0.0731546988343106,0.158491157205984,0.299797641355888,0.0339809090001319,0.265816732355756,-0.359469132101499,-0.738648550006746,0.379179417905247
"Ier2",0.539845026811079,0.229239330075573,0.310605696735506,0.552407624774151,0.280048458204171,0.27235916656998,0.444845499445104,-0.128957325046606,0.57380282449171,0.201579151139357,-0.0719819033674592,0.273561054506817
"Tnfsf9",-1.26286144492442,-3.3455424075218,2.08268096259738,-1.48163384750449,-2.06047368608861,0.578839838584115,-1.65844245783483,-3.42145977746962,1.76301731963479,-2.47528084985931,-3.75194349580748,1.27666264594817
"Btg2",0.475540597661734,0.224540244501414,0.25100035316032,0.135235068138401,0.0811177997836787,0.0541172683547222,0.0874191679066544,-0.319189519002939,0.406608686909594,0.307569391247128,0.0646475764229086,0.24292181482422
"Arc",-0.074878109819719,-0.440088825739131,0.365210715919412,0.0151839368568707,0.127325164527966,-0.112141227671096,0.626668331352759,0.158961701791064,0.467706629561695,0.23742263539699,-0.107292703873635,0.344715339270625
"Gdf15",-0.40842852521361,-0.540971252704057,0.132542727490447,-0.625662111215405,-0.227526329235165,-0.39813578198024,0.499464192800631,-0.111240675245223,0.610704868045854,-0.80793458604483,-1.311916698485,0.503982112440174
"Jun",0.639477688157959,0.343804355164115,0.295673332993844,0.442299252197077,0.199122265032605,0.243176987164471,0.491974743965136,0.144671667149578,0.347303076815558,0.396461827982754,0.0799736651080867,0.316488162874667
"Ier3",0.245732612691248,0.155063851415242,0.0906687612760058,-0.197986499128622,0.123804489875272,-0.321790989003894,-0.115033155403587,-0.759983788391557,0.64495063298797,-0.549455415272425,-0.238414861844983,-0.311040553427442
"Junb",-0.0210942844342344,-0.318018844239765,0.296924559805531,0.0892542778848618,-0.000221642201864976,0.0894759200867269,-0.00409362702344821,-0.449840276335991,0.445746649312543,-0.350156680189034,-0.572326039287875,0.222169359098841
"Dusp8",0.0856754892352175,-0.320680287986049,0.406355777221266,0.0512822412982075,0.124248908124955,-0.0729666668267471,0.34471321230791,-0.426638559869923,0.771351772177833,0.357341376488008,0.039678287927204,0.317663088560805
"Cxcl1",-0.0299913992905,0.0771512140098368,-0.107142613300337,-0.945972998933355,0.228918198059146,-1.1748911969925,-0.383380283661179,-0.872257097380343,0.488876813719164,-0.676632762031578,0.124356019139904,-0.800988781171482
"Nfkbiz",-0.714455928583098,-0.0131364388585978,-0.7013194897245,-0.899183138610742,0.47247471472334,-1.37165785333408,-1.0946368877365,-0.300233218700349,-0.794403669036151,-1.60158988895612,-0.710625265331897,-0.890964623624221
"Cxcl2",-1.19244352766381,-2.3849289831511,1.19248545548729,-1.39374384875797,-1.25543092192997,-0.138312926827993,-1.06725258544705,-2.79978436062906,1.73253177518201,-2.38480328120676,-3.38507876070215,1.00027547949539
"Pcdh10",1.38671022281478,1.24043151998398,0.146278702830802,1.27558015305231,0.910302364343465,0.365277788708847,1.14541429359833,-0.11185580829509,1.25727010189342,0.768160287517341,0.295093979661388,0.473066307855953
"Ifrd1",0.266230588800405,-0.0089877853039131,0.275218374104318,0.571917757114356,0.328789631807161,0.243128125307195,0.350067173250798,-0.26721312843053,0.617280301681328,0.0790406992722574,-0.440110014491195,0.519150713763453
"Zbtb10",-0.100312327446075,-0.0253713489778149,-0.0749409784682602,0.526425814596801,0.331977893703074,0.194447920893728,-0.0740307795800473,-0.105536489967578,0.0315057103875311,0.0180153266110983,-0.0845733530049631,0.102588679616061
"ENSMUSG00000089726",-0.0637245914745724,-0.136542060001659,0.0728174685270868,0.110529020203198,-0.0505882782293373,0.161117298432535,0.0868056705536937,-0.0273623590201435,0.114168029573837,-0.373607695915223,-0.370752122532832,-0.00285557338239059
"Slc25a25",-0.0437444708508489,-0.413080816192408,0.36933634534156,0.177669402490488,0.294251553283324,-0.116582150792836,0.253846410547956,-0.687503051366848,0.941349461914804,-0.124120242878405,-0.510950941406888,0.386830698528482
"Zswim4",-0.609136166329366,-1.00832677547718,0.399190609147813,0.214391428437472,0.250256368255528,-0.0358649398180567,-0.333437885637983,-0.717520872647608,0.384082987009625,-0.415038991635389,-0.787564677209581,0.372525685574192
"Stk17b",-0.304015955609281,-0.449049399718051,0.145033444108771,0.483524208038903,0.0922279711404111,0.391296236898492,-0.447675762007004,-0.937931227868219,0.490255465861214,-0.155373222212448,-0.730610598216356,0.575237376003908
"Creb5",0.0503448201292223,-0.120874657271718,0.17121947740094,0.204196886666471,0.262038519186116,-0.0578416325196453,-0.00483043962694893,-0.162165300517596,0.157334860890647,-0.105862683747468,-0.133104549897089,0.0272418661496214
"Hivep1",-0.0703992256319462,-0.246032781240354,0.175633555608407,0.545043346307179,0.341005160001581,0.204038186305597,-0.230556907703582,-0.858093553058936,0.627536645355354,-0.293090794931615,-0.700893324334048,0.407802529402433
"4930523C07Rik",0.286207779486516,0.0425644563719453,0.243643323114571,0.462362972317452,-0.360643561142549,0.823006533460001,0.0569271527417664,-0.380072291780697,0.436999444522463,-0.167081801716931,-0.386234367031057,0.219152565314126
"Itpkc",-0.41729605961398,-0.744671014885506,0.327374955271526,0.375688500799063,0.353749451299221,0.0219390494998421,-0.211414475286299,-0.775575167276232,0.564160691989933,0.0547051069142485,-0.395405430351152,0.450110537265401
"Arg2",-0.346514860680895,-2.15295110869689,1.806436248016,-0.744955240492973,-2.40197993809895,1.65702469760597,-1.1228060499226,-1.40637093272729,0.283564882804684,-0.787426164114165,-1.92514957135678,1.13772340724262
"Fgf7",-0.295138697932607,0.0195310613958025,-0.314669759328409,-0.185881760638295,0.116266481701572,-0.302148242339867,-0.796795645929183,-0.535506175024316,-0.261289470904868,-0.107206813348983,0.0928417411721626,-0.200048554521146
"Nfil3",0.0491385697901313,-0.0156221315942039,0.0647607013843351,-0.0105265227853089,0.100633086954534,-0.111159609739843,0.0944231017579609,0.146831405331631,-0.0524083035736704,-0.290437721643753,-0.344944353817712,0.0545066321739584
"Fas",-0.439747879720251,-0.735910827665828,0.296162947945577,0.18442402094765,0.0587315462836272,0.125692474664023,-0.217278129810082,-0.921532397644768,0.704254267834685,-0.509495202836853,-0.749507440244903,0.24001223740805
"Tnfrsf11b",0.235208599632327,0.0234963760806216,0.211712223551706,-0.0101322878552144,-0.0441673404756822,0.0340350526204678,-0.229145036407786,-0.595734417794303,0.366589381386517,-0.178852110439363,-0.364110467675351,0.185258357235988
"Arid5a",-0.467340418072806,-0.654495610245272,0.187155192172466,0.101925133910508,0.224283557575463,-0.122358423664955,-0.142476634107445,-0.429276416461515,0.286799782354071,-0.308873515614307,-0.64413933662998,0.335265821015673
"Trib1",-0.18750695008358,-0.216981478735429,0.0294745286518491,-0.272572076325877,-0.0564765209642831,-0.216095555361594,0.102206335823661,0.171263942830553,-0.069057607006892,-0.29446751678898,-0.178862912845665,-0.115604603943315
"Rasgef1a",-0.120461733327545,-0.212854863172496,0.092393129844951,1.308680324713,0.223829802844775,1.08485052186823,0.462801774491022,-0.434677375178372,0.897479149669394,0.228753542425055,-0.647020327349216,0.875773869774271
"Klf10",-0.566526238895142,-0.814127128892039,0.247600889996897,0.120775257338668,0.0786605970762012,0.0421146602624673,-0.179544034024648,-0.532156457496948,0.352612423472299,0.217764542044242,-0.298156554304936,0.515921096349178
"Irf1",-0.820048592916499,-1.37117740214649,0.551128809229996,0.522406352560979,-0.222532409390445,0.744938761951423,0.304049200560482,-1.19110843715867,1.49515763771915,-0.0322656145840556,-0.823980047765008,0.791714433180952
"Tnfaip3",-0.630307451980442,-1.27125687666317,0.640949424682733,0.171979506156526,-0.145742628572512,0.317722134729038,-0.208320703465682,-2.24763068785275,2.03930998438707,-0.653233580061364,-1.32100531204701,0.667771731985643
"Nr4a3",-0.0434714766211499,-0.117498811945464,0.074027335324314,0.0961587588417166,0.288771328852607,-0.19261257001089,0.06345247152932,-0.143891180888015,0.207343652417335,-0.144400898223717,-0.291358046723132,0.146957148499416
"Rel",-1.29297114989546,-1.34175877394835,0.0487876240528905,-0.133329966335878,0.231277785307309,-0.364607751643186,-0.812446321409132,-1.18658843773301,0.374142116323881,-0.867601416130218,-1.18784053959632,0.320239123466106
"Klf5",-0.560748849497189,-0.177711315980527,-0.383037533516662,-0.3983488397253,0.157201350574425,-0.555550190299725,0.151148951956441,0.413820403799345,-0.262671451842904,-0.445127230131631,0.125681879763351,-0.570809109894982
"Gadd45b",-0.525819194706876,-0.722509242399311,0.196690047692435,0.0746350344172493,-0.00927179377965646,0.0839068281969058,-0.0235613283182284,-1.44213970578732,1.41857837746909,-0.599778252199011,-0.716492720973744,0.116714468774733
"Pim1",-1.04830737458096,-1.37974031715723,0.331432942576265,-0.130146971704065,0.0698852929495536,-0.200032264653619,-0.299348920585129,-0.954935781798953,0.655586861213824,-1.08281716948811,-1.31905357534768,0.236236405859572
"ENSMUSG00000097418",-1.74276938777911,-2.47517315405128,0.732403766272177,-0.228492917285175,-0.523386595803686,0.29489367851851,-1.11305633678319,-2.13314982611069,1.02009348932751,-1.76746752699873,-2.54059245141093,0.773124924412201
"Zc3h12c",-1.66545583299021,-1.57776109584865,-0.0876947371415686,0.0276526339269135,-0.0861435900894809,0.113796224016394,-1.36813905302714,-1.57711517667283,0.208976123645697,-1.80950923425293,-2.7364871312545,0.926977897001568
"Nfatc1",0.0682059888845985,-0.0396706382057883,0.107876627090387,0.627120629875792,0.571269096521685,0.0558515333541071,0.322929434190788,-0.438638836024523,0.761568270215311,0.0589601637178014,-0.419696618206722,0.478656781924524
"Cxcl10",-2.18567469881242,-2.5704367297803,0.384762030967885,0.3960976257357,-0.497392969937838,0.893490595673537,-0.568718436740777,-2.20928329619508,1.6405648594543,-0.769240345796676,-1.67233141956476,0.903091073768086
"Zc3h12a",-1.96309128973572,-0.889184899279248,-1.07390639045647,-1.28723036891592,0.150771386399474,-1.43800175531539,-1.67001608212327,-1.20002672400721,-0.469989358116054,-1.8268403791891,-0.775917921705528,-1.05092245748358
"Rnd1",-1.08454287435569,-1.27240602110077,0.187863146745075,-0.592651377615834,-0.450581278920347,-0.142070098695487,-1.31930626408447,-2.41364498353102,1.09433871944655,-0.856068026135256,-0.791699665178137,-0.0643683609571183
"Stx11",-0.495941937189133,-0.812104520894628,0.316162583705495,0.555155273788678,0.1659699189758,0.389185354812879,-0.338551152131144,-1.48495256869215,1.14640141656101,-0.453574471468059,-0.857757688072559,0.4041832166045
"Bcl3",-1.21497316247713,-1.22718210824785,0.0122089457707206,-0.502621866993567,-0.122145093094852,-0.380476773898715,-0.974246473580078,-1.18041111555601,0.206164641975935,-0.456366455124642,-0.448608253973142,-0.00775820115150014
"Cgn",-1.79227980251852,-0.62848945547543,-1.16379034704309,0.298117463512722,-0.0581391315019084,0.35625659501463,-0.3831852154575,-0.9653113281025,0.582126112645,-0.458016122511904,-0.61969245100904,0.161676328497136
"Pdgfb",-1.64503931846647,-2.21056958412465,0.565530265658178,0.0429581380790722,0.000889764516377347,0.0420683735626948,-1.75960586621731,-3.41398838033152,1.65438251411421,-0.156665790595334,-0.859178426645282,0.702512636049947
"ENSMUSG00000073234",-0.33674744087801,-0.50891408047701,0.172166639598999,0.9013318261157,0.120264166424756,0.781067659690944,0.0603169143151722,-1.14387890425401,1.20419581856918,-0.0801883378200912,-0.839503459987477,0.759315122167386
"Csf1",-1.00380246448203,-1.12626531838042,0.122462853898396,-0.0251502249355095,-0.0212068599724338,-0.00394336496307555,-0.469521992582985,-1.57047262645983,1.10095063387685,-0.444329411571188,-0.760516291197124,0.316186879625936
"Plekhh1",-0.660994876469811,-0.905736889082248,0.244742012612436,0.25813444456224,-0.174912858876294,0.433047303438534,-0.00162851816857376,-1.05409654490922,1.05246802674064,-0.381448642578433,-0.711997634207251,0.330548991628817
"Rrad",-0.971531825359298,-1.80010775746334,0.828575932104041,0.279567305131897,-0.121999763692218,0.401567068824115,-0.73894573622641,-1.72155523235866,0.982609496132246,-0.244500684093584,-0.924669579037228,0.680168894943643
"Dot1l",-0.0375621656236635,-0.30100238595905,0.263440220335386,0.0991613205302714,0.0732408760276625,0.025920444502609,0.2130932124975,-0.131762898174941,0.344856110672441,-0.0814921098533806,-0.624694659022313,0.543202549168933
"Ccdc88c",-0.217624182582333,-0.591186527585718,0.373562345003385,0.154144432970416,0.0797309824546326,0.0744134505157836,-0.590020048146404,-0.937794127926555,0.347774079780151,0.191022865512399,-0.070369729042596,0.261392594554995
"Errfi1",-0.123382633104328,-0.377076103869711,0.253693470765383,0.0991395249824413,0.0733462976808025,0.0257932273016387,-0.0796523211530479,-0.405275726482426,0.325623405329378,-0.12605534425639,-0.40345646588629,0.277401121629901
"Sik1",-0.935511729944878,-1.39395942829044,0.458447698345557,0.245904584011078,0.106891971025317,0.139012612985762,-0.0516703009184678,-0.398362856161457,0.346692555242989,-0.00573112238821441,-0.385568307154476,0.379837184766261
"Kcnk10",-0.667545103385767,-0.265789448950771,-0.401755654434996,-0.183002804401222,-0.0867625985897754,-0.0962402058114464,-0.610135622400116,-0.723497062460704,0.113361440060588,-0.442590448824795,0.0610212311457084,-0.503611679970504
"Ccl1",-2.11058855731932,-2.69684856206543,0.58626000474611,0.362571462044122,-0.674598855795819,1.03717031783994,-0.896204950568469,-4.69649023304032,3.80028528247185,-0.347821247527295,-0.942992473394052,0.595171225866757
"Zbtb46",-0.295754281280442,-0.641822956486896,0.346068675206454,0.816947324756646,0.135400967639548,0.681546357117098,-0.606835711276531,-0.876841690623046,0.270005979346516,0.191038645520905,-1.23129997163163,1.42233861715254
"Ccl2",-1.52298530611228,-1.87633699658935,0.353351690477067,-0.253192210422288,-0.0886438116360004,-0.164548398786288,-1.38084211314936,-2.38540860880495,1.00456649565559,-0.853811310084179,-0.97880317085613,0.124991860771951
"Micall2",-0.986595301455161,-0.988448118381105,0.00185281692594393,-0.232385539252117,0.169639213825025,-0.402024753077143,-1.23650913015968,-1.61438973910028,0.377880608940597,-0.288863194323751,-0.274672191109917,-0.0141910032138344
"Slco5a1",0.237292438894023,-0.032710314579469,0.270002753473492,0.498796065657104,0.177391935053455,0.321404130603649,0.48601597882014,-0.319192338552753,0.805208317372893,-0.0921156854823687,-0.461251960560011,0.369136275077643
"Wnt11",-0.92621055042419,-0.97269754901186,0.0464869985876697,0.404579634397206,0.0704809897834627,0.334098644613744,-0.527261535282045,-1.00282374534111,0.475562210059065,0.334232352232959,-0.0554431145171334,0.389675466750093
"Tjp2",-0.560125573515417,-0.936093485447483,0.375967911932066,0.363744050844458,-0.206774580934547,0.570518631779005,-0.249486199500989,-0.98467153207971,0.735185332578721,-0.0325446355359205,-0.781779820602427,0.749235185066507
"Ccl7",-1.33843593478585,-1.56396638055918,0.225530445773336,-0.365314928946393,-0.210621156786243,-0.15469377216015,-1.26467396535942,-2.17527549065195,0.910601525292534,-1.12245986460379,-1.11705814537034,-0.00540171923345862
"Birc3",-1.24016404313176,-1.77167160191603,0.531507558784269,0.237444928838919,0.00253922531969519,0.234905703519224,-0.492856669645645,-1.44521561151636,0.95235894187071,-0.795932600405767,-1.44009567073248,0.644163070326717
"Angptl4",-0.759919570910811,-0.889073680140697,0.129154109229887,-0.332691423391892,-0.0630553800009299,-0.269636043390962,-0.748274967779705,-1.23463809928274,0.48636313150304,-0.989048636152331,-0.325500375091634,-0.663548261060698
"Bahcc1",-0.304614430620535,-0.603590357867321,0.298975927246787,-0.0343891769536505,0.12860580271961,-0.16299497967326,-0.451080828190372,-1.18718133647563,0.736100508285261,-0.148226095818733,-0.423207413778646,0.274981317959913
"Bdkrb2",-1.58596940422935,-1.34093523260523,-0.245034171624119,-0.030863901919145,-0.092630545224148,0.0617666433050031,-1.49182071665311,-1.84806237691332,0.35624166026021,-0.51179648634693,-1.35104341302854,0.839246926681614
"Icam1",-1.61576020850783,-2.25249249358501,0.636732285077179,-0.129950971053648,-0.762091617914302,0.632140646860654,-0.691041280557627,-3.17033364821964,2.47929236766201,-0.778613387465611,-1.52498432484328,0.746370937377669
"Nfkb1",-0.949750845512538,-1.0968705176015,0.147119672088964,-0.275055056094257,0.0575149070374976,-0.332569963131755,-0.606263145491219,-1.16750049896717,0.561237353475953,-0.697649285001096,-0.820748030438054,0.123098745436957
"Nfkb2",-1.11652090286163,-1.65475907939041,0.538238176528782,0.0344407142712966,-0.0943699556244032,0.1288106698957,-0.715995568153997,-1.38370726345764,0.667711695303642,-0.569894664304471,-0.967214213717082,0.397319549412612
"Nfkbie",-1.13983741018504,-1.91578958442219,0.775952174237145,0.208557836934331,-0.308574498815604,0.517132335749936,-0.634280825632086,-2.01305608767865,1.37877526204656,-0.366155846075725,-1.21180392816269,0.845648082086966
"Rab11fip1",-2.32917526430222,-2.6508784851079,0.321703220805676,-0.505007655156982,-0.601724087262137,0.0967164321051551,-1.0716721516693,-1.45856879060798,0.386896638938684,-2.2487911469226,-3.0352906342145,0.786499487291892
"Relb",-0.735130292636452,-1.16787616099775,0.432745868361294,0.044032645519257,-0.103958890827679,0.147991536346936,-0.450947560807685,-1.2620850337426,0.811137472934912,-0.265032984812358,-0.584921588198773,0.319888603386415
"Rhof",-1.09488449407701,-1.49666885190349,0.401784357826481,-0.0249143542998402,-0.624809457719107,0.599895103419266,-0.696800062984794,-1.27218886142925,0.575388798444452,-1.15306114595854,-1.86596676180229,0.712905615843755
"Ripk2",-1.42255858166977,-1.52294946108294,0.10039087941317,-0.361823520666407,-0.226544347003465,-0.135279173662943,-0.734323769993093,-2.02779080952981,1.29346703953672,-0.474719638274067,-0.695510019180365,0.220790380906298
"Trim47",-0.848955159335597,-1.27174310642132,0.422787947085722,-0.00921028165627311,-0.0823886987067305,0.0731784170504575,-0.417202285356954,-1.11369150525311,0.696489219896156,-0.375158637194705,-0.709905771736325,0.334747134541619
"Vcam1",-0.660632527910469,-0.922603167279598,0.261970639369129,0.320210929878956,-0.34377326108994,0.663984190968896,-0.816694835668896,-2.21011937803018,1.39342454236128,-0.0191290012209439,-0.746315235938286,0.727186234717342
"Glrx",-1.58151841129913,-1.96516357877219,0.383645167473068,-0.561159606871231,-0.246797971727279,-0.314361635143952,-1.22955421833991,-1.6485747792233,0.419020560883393,-0.968603719189889,-0.894138902035796,-0.074464817154093
"Slco2a1",-0.854476542430311,-1.39054959311249,0.536073050682182,0.0120956888588183,-0.187698112041097,0.199793800899915,-0.593113272863671,-0.767553515482911,0.17444024261924,-0.389675525997845,-0.598135412945062,0.208459886947218
"Ngef",0.315295329968477,-0.168992374100567,0.484287704069044,-0.116085221600561,0.153497351866796,-0.269582573467357,-0.278993962367864,-0.354848308546245,0.0758543461783815,0.156309154116276,0.119130363728762,0.0371787903875139
"Rffl",-1.06371405773598,-1.5151625860826,0.451448528346619,-0.700369534038639,-0.465789345406145,-0.234580188632494,-0.863353953541996,-1.72632913663286,0.862975183090868,-1.38463609870677,-1.54533457619934,0.160698477492577
"Gbp2",-1.40336740518057,-2.01470670079162,0.611339295611047,0.318699373064926,-0.662955077211525,0.981654450276452,-0.638723171466775,-2.79951571289128,2.1607925414245,-0.511123022280461,-1.29373487942469,0.782611857144225
"Il34",-1.04049429472598,-1.72688046893462,0.686386174208637,-0.284928352463551,-0.636950380809222,0.352022028345671,-0.841100111084965,-1.17409188977071,0.332991778685743,-0.327517923145409,-0.560406820613878,0.232888897468469
"Gjb2",-0.130686341755869,-0.492941856310244,0.362255514554375,0.167459581764173,-0.436175572489792,0.603635154253966,0.514265860977106,0.471065268363663,0.0432005926134433,0.099985293109061,-0.53446518617729,0.634450479286351
"Slc7a2",-1.53427238676016,-1.76985688617708,0.235584499416926,-0.26058999501032,-0.559810125663066,0.299220130652746,-1.26040041481152,-2.41067701422346,1.15027659941194,-1.58830154013582,-1.9127108411354,0.324409300999574
"Sod2",-2.4053085648258,-3.24273717793535,0.837428613109548,-0.916587645217555,-1.27405756275734,0.357469917539789,-2.26724805214617,-3.23530479555662,0.968056743410447,-1.58490099977772,-1.96167553141154,0.376774531633826
