"","sp.LT.avg.ctrl","sp.LT.avg.ko","sp.avg.ratio","sp.LT.peak.ctrl","sp.LT.peak.ctrl.1","sp.peak.ratio","cluster","cluster"
"Gjb2",1.08054768175555,0.901803654584862,1.19820725527329,1.21599915358963,0.816541099656198,1.48920752929843,5,5
"Slc7a2",1.74997822877471,1.14034131013304,1.5346091676452,2.2706584214188,1.3727969738225,1.65403804402062,5,5
"Sod2",2.35130475104133,1.23820332400463,1.89896498051442,3.39231093369013,1.71644789020008,1.97635532838384,5,5
"Tnip1",1.87447722949172,1.09923189482776,1.70526095386401,2.34731027368184,1.49959186973868,1.56529941316025,5,5
"Mt2",1.56936589797994,1.21441326240411,1.29228323385826,2.07560193056659,1.91281880585349,1.08510117331289,5,5
"Ch25h",2.35533353650295,1.47730019190881,1.59434998343813,2.56575435693664,1.96324124121216,1.30689713677392,5,5
"Mnda",1.46655312360196,1.33307598242954,1.10012718174485,1.56030871542515,1.57821540459181,0.988653837039884,5,5
"Ikbke",1.76306731106701,1.42792935790963,1.23470205392233,2.78810710158363,2.2474491794847,1.24056513803925,5,5
"Adarb1",1.16736081397978,1.1449885591584,1.01953928241678,1.14292107568705,1.09303557568642,1.04563941111368,5,5
"Ifi203,Gm16340,LOC102641031",2.03829354421373,1.13254101260568,1.79975252244876,1.79563794166897,1.52467245329924,1.17772045909493,5,5
"Cx3cl1",2.09518164918637,1.32483966304515,1.5814605401914,2.54320550192458,1.61849143099575,1.57134319849931,5,5
"Gch1",2.67077146627209,1.35450997719785,1.9717621215292,2.88200995953585,1.8636578262252,1.54642655909282,5,5
"Serpina3g",1.78825243390512,1.19631198821182,1.4948044084872,1.85634052556939,1.49137739756959,1.2447154748319,5,5
"Atp2b4",1.18165375895987,1.19278291033028,0.990669591864514,1.40466126234203,1.20448647059072,1.16619098399099,5,5
"B4galt5",1.50026235000078,1.02826775942918,1.45901914773019,1.86690682937885,1.02817922585919,1.81574066313077,5,5
"Cebpb",1.66270795724586,1.31250056450577,1.26682456542178,1.92852251599236,1.53867110039444,1.25336890742796,5,5
"Gda",0.96791201516018,0.93464810370891,1.03558977043796,1.46419989551974,0.810087738908754,1.80745840875473,5,5
"Il1r1",1.24722585947182,0.970341205292448,1.28534772373798,1.4323325734137,0.923324867467254,1.55127693824893,5,5
"Jak2",1.38999771869856,1.07957312591293,1.2875438312927,1.61686129743556,1.13375618376805,1.42611023479661,5,5
"Nxph3",0.91591690838327,1.11328791636607,0.822713419339853,1.08281922995046,1.02221863083594,1.05928340306708,5,5
"Osmr",1.15994283147199,1.21653925777297,0.953477517524103,1.31060041910573,1.41881392500314,0.923729599780207,5,5
"Rab20",1.82370538847262,0.938374601204711,1.94347266659956,2.30458525143213,0.97939772010503,2.35306372898743,5,5
"Sdc4",1.34624883607068,1.14202817777469,1.17882278412248,1.64198494442821,1.12277765315603,1.46243108759132,5,5
"St3gal1",1.42912709129158,1.0161178885529,1.40645795865956,1.79354078465541,1.13344211879983,1.58238409787925,5,5
"Ifnb1",9.1423014734621,3.21921229945655,2.83991878230754,29.7475440656733,7.90030624982595,3.76536593962148,6,6
"Csf3",3.57777891488232,7.00832379944764,0.510504225727171,10.6004665863896,11.179364745432,0.948217258115764,6,6
"Cxcl3",6.23472391580029,3.4960298991043,1.78337259569709,7.58710403690759,6.33512482557947,1.19762502646719,6,6
"Ccl3",6.93280233150305,5.34387439788043,1.29733631730807,6.11911434840048,6.03234453391072,1.01438409460898,6,6
"Il1a",23.6322427246599,17.1744872975424,1.3760086292673,29.867443531354,24.0626186765037,1.24123828469752,6,6
"Nfkbia",1.57481752836946,1.32720853068978,1.18656374786183,0.953519053606238,1.40465548984147,0.678827698679235,6,6
"Slfn2",2.54306499650917,1.15992515140063,2.19243887714512,2.89183686787402,1.07940771258607,2.67909598398707,6,6
"Nos2",14.6112251296185,8.56480682174418,1.70596085045652,31.9914167421641,12.8921808200501,2.48145889269646,6,6
"Irg1",154.524019806677,15.3091270111503,10.0935879422864,142.255756253172,10.597930902479,13.4229744996636,6,6
"Hivep3",1.49318543535857,1.16530971482543,1.28136358631684,1.71840511509378,1.0696294296411,1.6065424786137,6,6
"Ifih1",4.21983102645872,1.49195773596837,2.82838509746377,8.51108541960326,1.89711754841732,4.48632475446959,6,6
"Oasl1",5.66803456676515,1.49886278008665,3.78155668555429,10.9010052312866,3.00395381474979,3.6288857630771,6,6
"Ptger2",2.27150819996977,1.6411317846321,1.38411078332688,3.79583244504915,2.04210657475645,1.85878273542205,6,6
"Rsad2",9.29181136554467,2.67527418964076,3.47321833460083,20.5645093633555,4.48536523346018,4.58480152517954,6,6
"Tnfaip2",3.72452612246592,1.34418833550862,2.7708365145548,4.2533620148343,1.48823103779032,2.85799846047396,6,6
"Tnfsf11",1.99649950309785,1.19696619291645,1.66796649304966,2.59027213120837,1.2629577357382,2.05095709690898,6,6
"Slc39a4",1.32478594945908,0.937894573499128,1.41251051759104,1.81493879666405,1.20944586572548,1.50063665360943,7,7
"Il1rap",1.28135046435468,1.18022505584895,1.08568315678826,1.79102079403494,1.21976756757021,1.46832957495556,7,7
"Cd274",1.58823370854286,1.15884961753737,1.37052615327083,1.83605449490073,1.05858424218655,1.73444344033336,7,7
"Tmem158",1.56282399590196,1.10833573252701,1.4100637108746,1.84702086414052,1.20969994838749,1.52684214511423,7,7
"Slco3a1",1.59837754263541,1.11296898345004,1.43613844267311,2.37088004057015,1.15463328332869,2.05336194166786,7,7
"Egln3",1.42746189296011,1.01947302828066,1.40019583977374,1.45343048024154,1.17294031476725,1.23913421846187,7,7
"Adtrp",1.4756525423356,0.679802730383107,2.17070699540143,1.65142303361809,0.641131718731565,2.57579368695924,7,7
"Grem2",0.991375530569817,0.977097451428463,1.01461274831951,0.937665319106626,0.853013225962198,1.09923889872744,7,7
"Gsap",1.66717200705223,1.13275602005208,1.47178384183346,2.09426343949129,1.4674939938237,1.4271018813743,7,7
"Timp1",1.67468492480598,1.19931627010373,1.39636638520808,2.35973269267232,1.47440332780384,1.60046620091885,7,7
"F2rl1",1.2231119778751,0.958692471742908,1.27581264474881,1.29835983907785,0.908595451131269,1.42897461951993,7,7
"Rab15",1.16321812276133,1.0187522707888,1.14180665517504,1.46205094770895,1.25288888959502,1.16694382067794,7,7
"Il1rl1",1.42549290969083,0.935978459205795,1.52299756011522,1.63537777596606,0.923623537365905,1.77061076272484,7,7
"Slc6a12",1.81249459728438,1.37078066207905,1.32223531263957,2.03555051692557,1.63842162358298,1.24238504157075,7,7
"Exoc3l4",1.96919897307506,1.09467351189131,1.79889158884717,1.92608906360629,1.31462044392586,1.46512940104172,7,7
"Flt1",1.46020238973694,1.04850817475411,1.39264759674322,1.62500974105487,1.09273874005474,1.48709813378948,7,7
"Nptx1",0.976350038530351,0.703394116930488,1.38805545146014,1.04844629555896,0.681348447004834,1.53878136828206,7,7
"Mmp9",2.22053238629186,1.19858578568322,1.85262699826372,3.56400894148153,1.50080194832324,2.37473635043144,8,8
"Acpp",2.55342659300023,1.26051652554634,2.02569862532625,4.35586037185693,1.48764250120862,2.92802899104997,8,8
"Kcnq5",0.971332994894574,1.14123500890515,0.851124428636682,0.715330814662423,1.44278434198175,0.495798847996835,8,8
"Pilra",3.11531881518664,1.53519307201084,2.02926841710281,7.53383255308644,2.33758473509984,3.2229131376342,8,8
"Prokr2",1.72108778509577,1.64613763741302,1.04553091186259,2.47400163694854,2.07668574363883,1.19132210760667,8,8
"Mmp1b",1.88180857790525,1.33183385612915,1.41294544304089,3.0081092395191,1.31136558901256,2.29387538053684,8,8
"Mmp3",4.90099203479152,1.62254183208066,3.02056436258827,10.8271231854342,1.96843097728327,5.50038244184575,8,8
"Rasl12",1.45113525246189,1.23440231815101,1.17557722561273,1.71365044593005,1.78680682802162,0.959057475635143,8,8
"Rbfox1",1.58941455422486,1.02743854349597,1.5469680053239,1.89121709632095,1.14131310225758,1.65705369769261,8,8
"U90926",2.1697535863827,1.40055733052852,1.54920726134354,4.14229833564203,1.39575876994483,2.96777525231368,8,8
"Gm16685",2.8775599675875,1.39715438337901,2.05958625748154,2.90344963587307,1.9542199044931,1.48573332468752,8,8
"Tmem132e",2.62661345530892,1.17229500839788,2.24057377749871,3.36619732735524,1.62620270737898,2.06997400267565,8,8
"Fpr2",8.08043540026738,4.4396325487398,1.82006851052595,11.9145560609529,7.8884209758558,1.5103854240817,8,8
"Itgal",3.59942461404504,1.68414414080343,2.13724260699439,8.186014766742,2.61675867310641,3.12830329020146,8,8
"Kcnn3",2.02291941873306,1.38303015552218,1.46267195307053,3.1722435940772,1.44638363655293,2.19322419993453,8,8
"Ptges",2.82454305291814,1.65951380465197,1.70203046518827,6.49877026998586,3.03978351808516,2.13790562101593,8,8
"Fpr1",14.1761562163359,3.5856012490048,3.9536343368551,26.8103446209024,4.70984307108568,5.69240720258697,8,8
"Ccl5",15.9994830473842,1.17493227850837,13.6173661580702,22.3999555956101,1.35247069133725,16.5622484384207,8,8
"Lcn2",12.2109192084406,3.26003778099712,3.74563732960966,24.0824890915361,4.23576712351783,5.68550828911845,8,8
"Steap4",4.68756725307523,7.49404211641123,0.625505859222476,5.78886432762384,11.2570198457191,0.514244836285445,8,8
