time,LPS,TNF,IL1
0,1,1,1.051128
30,13.051985,36.6,26.7
60,42.225133,28.9,14.6
90,33.964388,20.079337,7.599083
120,27.8,18.458392,7.860719
240,24.492837,1.846968,4.523272
360,15.387229,1.232722,0.764457
480,10.131805,1.3311,0.94464
