"","r2","gene"
"Rab20",0.639528299521821,"Rab20"
"Itpkc",0.620925685284363,"Itpkc"
"Jak2",0.597409344161012,"Jak2"
"Mt2",0.478292357250653,"Mt2"
"Il1r1",0.466856115156814,"Il1r1"
"Irf1",0.444272347916775,"Irf1"
"Klf10",0.417960760358215,"Klf10"
"Nfkbie",0.381716235551261,"Nfkbie"
"B4galt5",0.370052002459692,"B4galt5"
"St3gal1",0.332380261719454,"St3gal1"
"Zbtb10",0.27845454507898,"Zbtb10"
"Rel",0.253572724632232,"Rel"
"Zc3h12c",0.247396011654274,"Zc3h12c"
"Sik1",-0.0344369570447047,"Sik1"
