"","rmsd","n","kb","kt","Kd","k_deg","tau"
"Kcnk10",0.171115275171913,2,0.00160906060233412,1.47258211999232,6.32606734839387,0.0184682625685318,93.8400775303759
"Ccl1",0.191353842253532,4,0.00101465271243384,481.103599446499,0.634275911671287,0.00895175015062625,54.5713852514033
"Wnt11",0.166483301717864,1,0.00452263268379778,5.59742992930974,239.266749447317,0.0179469248059303,83.0998164647547
"Sod2",0.0788497713618093,6,0.0339541081030601,0.420231189708424,0.694620911417552,0.00273337453778253,51.3864483301318
"Nos2",0.301303174226805,3,0.00100867981023712,999.996611839359,3.03556791013828,0.000594382801249723,59.2070759046572
"Ptger2",0.120092878131591,5,0.00108762150371811,18.6559488984223,3.28897101983473,0.00623913952164564,63.7968912379914
"Slc39a4",0.109559785688436,1,0.00177433476974853,0.0419213616053359,1.00635749035792,0.00163506685494413,75.5427590161651
"Adtrp",0.143180411379528,6,0.001,79.6793057827714,0.0318848997222769,0.00418298911085252,59.2222180787946
"Acpp",0.068293167709781,1,0.00807132959722649,257.526344464502,554.656235848279,0.00260740472682734,120
"Itgal",0.0730944098289372,3,0.00859989401018922,1.72173908169978,0.880426363830398,0.000483980137484918,68.3531247564757
"Fpr1",0.12992441573255,4,0.001,388.060235858369,2.87577662952527,0.000483980137484918,83.6240877236753
"Ccl5",0.128746850417758,6,0.00298608235385168,349.315494983081,0.715896713496412,0.00285237183499616,95.6846222426501
"Lcn2",0.12690884008037,6,0.0112178044491653,121.281083787795,0.558281420007209,0.00151776455669724,75.6225503976763
