"","time","normCnt.frac","sti","geno","gene","type","clust","v1"
"72",0.5,0.144608118655334,"lps","mt","Klf10","Sim.","1",FALSE
"73",1,0.1465332952103,"lps","mt","Klf10","Sim.","1",FALSE
"74",2,1,"lps","mt","Klf10","Sim.","1",FALSE
"75",3,0.669904985869674,"lps","mt","Klf10","Sim.","1",FALSE
"76",5,0.441119343619298,"lps","mt","Klf10","Sim.","1",FALSE
"77",8,0.189676396088994,"lps","mt","Klf10","Sim.","1",FALSE
"78",0,0.144608118655334,"tnf","mt","Klf10","Sim.","1",FALSE
"79",0.5,0.144608118655334,"tnf","mt","Klf10","Sim.","1",FALSE
"80",1,0.300149929458408,"tnf","mt","Klf10","Sim.","1",FALSE
"81",2,0.568754431986489,"tnf","mt","Klf10","Sim.","1",FALSE
"82",3,0.308315113935677,"tnf","mt","Klf10","Sim.","1",FALSE
"83",5,0.151122088712406,"tnf","mt","Klf10","Sim.","1",FALSE
"84",8,0.144650250055521,"tnf","mt","Klf10","Sim.","1",FALSE
"85",0,0.0703612785873729,"lps","wt","Irf1","Sim.","1",FALSE
"86",0.5,0.0704466358400417,"lps","wt","Irf1","Sim.","1",FALSE
"87",1,0.110417099569113,"lps","wt","Irf1","Sim.","1",FALSE
"88",2,0.819197249472547,"lps","wt","Irf1","Sim.","1",FALSE
"89",3,1,"lps","wt","Irf1","Sim.","1",FALSE
"90",5,0.513624856470278,"lps","wt","Irf1","Sim.","1",FALSE
"91",8,0.146282340846539,"lps","wt","Irf1","Sim.","1",FALSE
"92",0,0.0703612785873729,"tnf","wt","Irf1","Sim.","1",FALSE
"93",0.5,0.0735179505339612,"tnf","wt","Irf1","Sim.","1",FALSE
"94",1,0.471868138300218,"tnf","wt","Irf1","Sim.","1",FALSE
"95",2,0.285034490412198,"tnf","wt","Irf1","Sim.","1",FALSE
"96",3,0.139486812982171,"tnf","wt","Irf1","Sim.","1",FALSE
"97",5,0.0775285045210325,"tnf","wt","Irf1","Sim.","1",FALSE
"98",8,0.0706010184346976,"tnf","wt","Irf1","Sim.","1",FALSE
"99",0,0.114319720148678,"lps","mt","Irf1","Sim.","1",FALSE
"100",0.5,0.114322443074646,"lps","mt","Irf1","Sim.","1",FALSE
"101",1,0.127684841742174,"lps","mt","Irf1","Sim.","1",FALSE
"102",2,1,"lps","mt","Irf1","Sim.","1",FALSE
"103",3,0.671617906517919,"lps","mt","Irf1","Sim.","1",FALSE
"104",5,0.387892092781158,"lps","mt","Irf1","Sim.","1",FALSE
"105",8,0.146494446799657,"lps","mt","Irf1","Sim.","1",FALSE
"106",0,0.114319720148678,"tnf","mt","Irf1","Sim.","1",FALSE
"107",0.5,0.117045880148296,"tnf","mt","Irf1","Sim.","1",FALSE
"108",1,0.506716459761635,"tnf","mt","Irf1","Sim.","1",FALSE
"109",2,0.458547182696263,"tnf","mt","Irf1","Sim.","1",FALSE
"110",3,0.263616639592012,"tnf","mt","Irf1","Sim.","1",FALSE
"111",5,0.130539084166234,"tnf","mt","Irf1","Sim.","1",FALSE
"112",8,0.114863295601955,"tnf","mt","Irf1","Sim.","1",FALSE
"113",0,0.154842520396069,"lps","wt","Rel","Sim.","1",FALSE
"114",0.5,0.154842520396069,"lps","wt","Rel","Sim.","1",FALSE
