"","X","ctrl.sp","mt.sp","gene","cate","cate2"
"Il1rl1",153,0.709623940040206,-0.11462315606682,"Il1rl1","III","III"
"Slc6a12",154,1.02541902575875,0.71230666099625,"Slc6a12","III","II"
"Exoc3l4",155,0.945674415877277,0.394646325975953,"Exoc3l4","III","III"
"Flt1",156,0.700448366343816,0.127948512188212,"Flt1","III","III"
"Nptx1",157,0.0682529643290334,-0.553535302228761,"Nptx1","I","I"
"Mmp9",158,1.83350095633651,0.585733605856696,"Mmp9","III","III"
"Acpp",159,2.12295770886241,0.57302787073329,"Acpp","III","III"
"Kcnq5",160,-0.483317504329093,0.528855671273984,"Kcnq5","I","I"
"Pilra",161,2.913383968311,1.22501866219498,"Pilra","III","III"
"Prokr2",162,1.30684645488856,1.05428291555864,"Prokr2","II","II"
"Mmp1b",163,1.58885695945266,0.391069943323459,"Mmp1b","III","III"
"Mmp3",164,3.43657805829121,0.977046125513486,"Mmp3","III","III"
"Rasl12",165,0.777072855451681,0.837383672812968,"Rasl12","II","II"
"Rbfox1",166,0.919314982435384,0.190694627830396,"Rbfox1","III","III"
"U90926",167,2.05043146274519,0.481049621005316,"U90926","III","III"
"Gm16685",168,1.53776800882746,0.966592820054996,"Gm16685","III","III"
"Tmem132e",169,1.75111975030202,0.701507101633672,"Tmem132e","III","III"
"Fpr2",170,3.57465329227425,2.97973654506946,"Fpr2","II","III"
"Itgal",171,3.03316126925917,1.38778087999678,"Itgal","III","III"
"Kcnn3",172,1.665503558707,0.532450261241382,"Kcnn3","III","III"
"Ptges",173,2.7001667499508,1.60396858402881,"Ptges","III","III"
"Fpr1",174,4.74471785876851,2.23567899097645,"Fpr1","III","III"
"Ccl5",175,4.485423967257,0.435597330524884,"Ccl5","III","III"
"Lcn2",176,4.58991260718563,2.08262327417884,"Lcn2","III","III"
"Steap4",177,2.53328034482764,3.49275303750399,"Steap4","II","II"
