gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Glrx,ENSMUSG00000021591,0,-0.744398074985496,-0.846191521831612,-1.24288174974701,-1.90043220396021,0,-0.265294393960381,-0.268428486087913,-0.349292305525319,-0.869394477077385,-1.17576106698402
Ifi203,ENSMUSG00000039997,0,-0.335783163925327,-1.82489236768327,-0.73791546474209,-1.81757855091566,0,-0.0599073528859142,-2.62904652979558,-1.70642679846446,-1.76268683251854,-0.727929618842737
Sdc4,ENSMUSG00000017009,0,-0.902111739355581,-0.77927195081274,-1.2823881094366,-1.71470924841671,0,-0.364900923943546,-0.362112622735738,-0.46219617479985,-0.647964498789545,-0.82784797466026
Slc7a2,ENSMUSG00000031596,0,-0.711639693986857,-0.489310370550138,-1.13877015687861,-2.31613052514168,0,-0.485499210498372,-0.394272455094352,-0.558740089184941,-0.952549158382103,-1.37664339091002
Rab15,ENSMUSG00000021062,0,-1.10833775862124,-0.638966514442353,-1.36813344556181,-1.53241280939297,0,0,0,0,-0.141660194138436,-0.050595716546054
Vcam1,ENSMUSG00000027962,0,-0.95172162263802,-0.642603793707748,-1.05220859661311,-1.74461459376852,0,-0.507239781186037,-0.336203275815317,-0.51949277721827,-0.779507019949001,-1.23259241692792
Sod2,ENSMUSG00000006818,0,-0.932420800504273,-0.667072228596837,-1.06837520386399,-1.59032819726768,0,-0.474513167839939,-0.475104236139721,-0.334134286338678,-0.727213025283799,-0.926698936011434
Il1rl1,ENSMUSG00000026069,0,-1.04374274530096,-0.514110989195125,-0.875892933540129,-1.57307544170073,0,-0.465471618262161,-0.177325059139267,-0.442715010448406,-0.705120284312411,-1.15251460618828
Tmem158,ENSMUSG00000054871,0,-0.644005719768891,-0.238529368313507,-1.18559040863683,-1.84576091137448,0,0,0,-0.734001104780558,0,0
Cx3cl1,ENSMUSG00000031778,0,-0.842140830760605,-0.551297461688244,-0.900220106876811,-1.34467553089046,0,-0.139868708646791,-0.105440409325972,-0.190370023370201,-0.297013348003988,-0.455710759490804
Il1rap,ENSMUSG00000022514,0,-0.373714585204298,-0.206400173267855,-0.596689597048457,-2.29847982513948,0,-0.494649254061748,-0.44088403278962,-0.551804614007409,-0.954372981609843,-1.70836744842354
Irg1,ENSMUSG00000022126,0,-0.137640236280164,-1.1840878935033,-0.765706581367313,-1.34506644169552,0,-0.34944124490708,0,-1.85198399339367,-0.978007509097361,-1.72341383312451
Gm16685,ENSMUSG00000097804,0,-0.380536902162586,-1,-1,-1,0,-0.564959394635232,-1.37500548276672,-0.68050957689451,-1.73022331623273,-3.1340985715449
Acpp,ENSMUSG00000032561,0,-1.57913138026081,-0.603012252671685,-0.323093932386763,-0.658576549529344,0,-0.535136698040802,-0.166609614789548,-0.176599049633658,-0.448923048963115,-0.635459789961749
Atp2b4,ENSMUSG00000026463,0,-0.50732484921557,-0.358779983161631,-0.652777492974395,-1.62133974547971,0,-0.331057774047414,-0.0798155275677672,-0.31538350053072,-0.581407903324026,-1.00738988190297
Ngef,ENSMUSG00000026259,0,0,-0.376732971445697,-2,-0.734346588295844,0,-0.643279688665379,-1.49651812289444,-0.175457535145192,-1.76268683251854,0
Timp1,ENSMUSG00000001131,0,-0.84084335249716,-0.549903527457563,-0.631621624288886,-1.04397617995838,0,-0.17567575562029,0,-0.189250877708734,-0.286537269244642,-0.416654867044823
Pcdh10,ENSMUSG00000049100,0,-0.675891421882406,-0.167549734183623,-0.739727635607975,-1.44821402445971,0,-0.298949685220892,-0.00288545523157069,-0.10926191975776,-0.67250409985218,-0.607280098607401
Flt1,ENSMUSG00000029648,0,-0.594644473381719,-0.340128559797052,-0.729998332429569,-1.35546364903049,0,-0.496123701284539,-0.389824519278344,-0.397122542855854,-0.82468364861422,-1.23621536460966
Arg2,ENSMUSG00000021125,0,0,-1,-1,-1,0,-1.29919776285555,-1.15719620262452,-1.36710487819453,-0.495133611215899,-1.53804185689035
Ccl5,ENSMUSG00000035042,0,-0.911138133447713,-0.246789870504304,-0.305220021429928,-1.52383281648712,0,-0.277206197846574,-0.214863664446382,-0.408062068073368,-0.27616862001208,-0.384093071144286
Wnt11,ENSMUSG00000015957,0,-0.802536221215987,-0.45282661710663,-0.573438113060853,-1.02281837120853,0,0,0,0,0,0
Slco2a1,ENSMUSG00000032548,0,-0.497341491568506,-0.298295087488825,-0.713362795119258,-1.32398836917158,0,-0.318697352355297,-0.0956508039366195,0,-0.447216062997298,-0.414431882147192
Steap4,ENSMUSG00000012428,0,-0.494908965769832,-0.232750081349132,-0.515847676721021,-1.57920026412198,0,-0.0383742010246815,-0.11560277238598,-0.00316630954693764,-0.229851200182685,0
Rsad2,ENSMUSG00000020641,0,-1,0,-0.396378537068069,-1,0,0,0,0,0,0
Gda,ENSMUSG00000058624,0,-0.00190657107615078,0,-0.532408040640902,-1.61746110376426,0,-0.35038695732595,0,-0.23608085873084,-0.506357657666291,-1.08425629927428
Mir155hg,ENSMUSG00000097418,0,-0.965499402883742,0,0,-1.15083850383002,0,-0.76368300396588,-0.305215437488057,-2.41020244954442,-1.92894692556338,-2.08945091784922
Gm17024,ENSMUSG00000090582,0,-0.380536902162586,-0.239929866962112,-0.396378537068069,-1,0,-0.744669633826202,-2.9169726028904,-3.12688127846042,-4.04950100979154,-4.04950100979154
Itgal,ENSMUSG00000030830,0,-0.584784692404814,-0.0198672098305241,-0.570397254762962,-0.751004218909455,0,-0.0806312890211283,0,0,0,-0.223293974117269
Rbfox1,ENSMUSG00000008658,0,0,0,-0.280279754197071,-1.55454414508187,0,-2.6870749439234,-0.214863664446382,-0.943892794926056,-0.816225763604988,-0.318392734111497
Fpr2,ENSMUSG00000052270,0,0,0,-0.396378537068069,-1,0,-0.208936669181178,0,0,-0.333103818574245,-0.447780763215975
Gm8773,ENSMUSG00000073234,0,0,0,-0.152952964020934,-1.23261605019451,0,-0.641941774287869,-0.17851318779615,-0.774648145931574,-0.628924990005368,-1.97541350099433
Mmp3,ENSMUSG00000043613,0,-0.192947241832701,-0.138985600816443,-0.19404576897243,-0.82690705997318,0,-0.373797160186244,0,-0.224461879087176,-0.294494177977661,-0.0530668353580701
Lcn2,ENSMUSG00000026822,0,-0.380536902162586,-0.239929866962112,0,-0.565876003108862,0,0,0,0,0,0
Slc6a12,ENSMUSG00000030109,0,0,0,-0.396378537068069,-0.565876003108862,0,-0.142156991600965,-0.379512017897938,-0.616369204705651,-1.17454727232498,-1.5806553151416
Mmp9,ENSMUSG00000017737,0,-0.182343720751458,0,-0.270052857197192,-0.479811345347478,0,-0.159701584309929,0,-0.00917709604252792,-0.064434861874151,-0.260329233994586
Slc39a4,ENSMUSG00000063354,0,0,-0.329675753614462,0,-0.319309089017,0,0,0,-0.808886422043786,0,0
Adtrp,ENSMUSG00000058022,0,-0.380536902162586,0,0,-0.232616050194505,0,-0.272905351634408,0,-0.922603376316922,-0.0506321093382867,-1.09354035501274
Il1a,ENSMUSG00000027399,0,0,0,0,0,0,0,-1.84522310764805,-0.364384920166174,-0.978863410371005,-0.235814759897013
Prokr2,ENSMUSG00000050558,0,0,0,0,0,0,-0.997102129626345,-0.352401330982018,-1.81827106480956,-2.32518940445163,-3.43663281320349
Ifnb1,ENSMUSG00000048806,0,0,0,0,0,0,0,0,0,0,0
U90926,ENSMUSG00000029409,0,0,0,0,0,0,-1.84522310764805,-0.712694700746907,-0.922603376316922,-1.84522310764805,-1.84522310764805
Mmp1b,ENSMUSG00000041620,0,0,0,0,0,0,-0.0886814749912208,-0.760538169483134,-0.220081300363634,-1.40093868931852,-2.01461305844467
Nos2,ENSMUSG00000020826,0,0,0,0,0,0,0,0,0,0,0
Ccl1,ENSMUSG00000020702,0,0,0,0,0,0,0,0,0,0,0
Csf3,ENSMUSG00000038067,0,0,0,0,0,0,-0.854696260977938,-0.712694700746907,-1.84522310764805,-1.84522310764805,-1.84522310764805
Kcnk10,ENSMUSG00000033854,0,0,0,0,0,0,0,-0.712694700746907,-0.364384920166174,-1.84522310764805,-1.09354035501274
