gene,ensembID,b1_0.0_U_0.0,b1_0.0_U_0.5,b1_0.0_U_1.0,b1_0.0_U_3.0,b1_0.0_U_6.0,b2_0.0_U_0.0,b2_0.0_U_0.5,b2_0.0_U_1.0,b2_0.0_U_2.0,b2_0.0_U_4.0,b2_0.0_U_6.0
Zswim4,ENSMUSG00000035671,0,-1.49018988064611,-1.85189236405234,-3.95849419953165,-5.53358980687813,0,-0.285872261823357,-0.564577823503308,-1.85711396845754,-3.14265140956079,-3.9638233992385
Cebpb,ENSMUSG00000056501,0,-1.13673142082479,-1.46885842107717,-4.69211177512896,-5.50123503203313,0,-0.172003531329813,-0.786778821970867,-2.72347119431082,-5.10004941584646,-5.28523206640518
Ccl7,ENSMUSG00000035373,0,-1.85106936868539,-2.08942675649952,-4.1267569827902,-4.55006591460598,0,-0.652717215267874,-0.92028129555381,-1.82703441864835,-2.60478952607932,-3.24974208948442
Irf1,ENSMUSG00000018899,0,-1.3111502326637,-1.75468014472424,-4.43775325371205,-5.04465359817509,0,-0.775852184837147,-1.54579404483469,-3.14352806563746,-4.17673676818362,-4.24902760954331
Dusp8,ENSMUSG00000037887,0,-2.18833813952625,-2.6784078480835,-3.82351385447341,-3.62538228279762,0,-0.851733734024111,-1.56856229022715,-3.52075872660203,-3.46597133146428,-3.87942420186348
Frat2,ENSMUSG00000047604,0,-3.28742749777111,-2.65160384850182,-2.87899187536309,-3.47276659871738,0,-0.364321852391816,-1.1323399504219,-2.04955368600147,-2.52799385440447,-3.18018635708133
Stk17b,ENSMUSG00000026094,0,-0.947063927731512,-1.02949064574385,-4.49563667776252,-5.67886754547975,0,-0.905879615062696,-1.25458601998542,-2.92153039398615,-5.07796013680601,-5.59983013713029
Tnfsf9,ENSMUSG00000035678,0,-1.55375905775892,-2.18156214822602,-4.14202628119688,-4.13200122236741,0,-1.08999519327258,-1.33706022569585,-2.16640608448273,-3.0692604552732,-3.92546538171201
Ccl3,ENSMUSG00000000982,0,-2.52085251902243,-2.26779472327411,-3.27237893399306,-3.92222955459463,0,-1.06146915787256,-1.64317800858187,-1.75208081259071,-2.21703922942683,-2.2964271118975
Cxcl1,ENSMUSG00000029380,0,-2.01096530750239,-3.32739270821245,-2.73212044309248,-3.6533388443592,0,-1.01271068535708,-1.27528992943331,-1.60774187171605,-1.44897295687241,-1.90267071769776
Rab20,ENSMUSG00000031504,0,-1.16680448573039,-1.7593919627859,-4.2296201025633,-4.54703872164626,0,-1.09153023763439,-1.49909186327793,-2.74031393753402,-3.57618523620772,-4.88982264758494
Slfn2,ENSMUSG00000072620,0,-1.03873148160057,-1.54797592817807,-3.62168285270095,-5.08397188889857,0,-0.503500848893896,-0.766085258791013,-3.40092623829016,-2.88886438742041,-3.83791684930429
Zbtb10,ENSMUSG00000069114,0,-1.67037979276968,-1.37596290280615,-3.36701724044548,-4.85963961452528,0,-1.02521900308027,-1.18903522810015,-2.50697531130306,-3.05816945713094,-3.52279007115848
Trim47,ENSMUSG00000020773,0,-0.547045541275864,-1.04575306329883,-4.23324756727565,-5.42521824760182,0,-0.123006640017321,-0.388584259785111,-1.66218067689964,-3.53454252046624,-4.21284935232761
Egr3,ENSMUSG00000033730,0,-1.80047876206947,-1.98269046388392,-3.56128196615097,-3.89267323666369,0,-0.909451440054467,-2.33868326234723,-2.23086414598381,-2.56139613446241,-2.79996482817829
Nfatc1,ENSMUSG00000033016,0,-1.09058870902251,-1.05226326283359,-3.28372892778418,-5.60169321402921,0,-0.286043639168263,-0.800524742862305,-2.10725150514291,-3.09746633637624,-3.71250172592162
Nfkbiz,ENSMUSG00000035356,0,-2.21922242800721,-2.62146377176474,-2.53190922380445,-3.42998021892082,0,-1.61522123557224,-2.16536624463189,-2.16677173181767,-2.24754432226677,-2.73589077620657
Rab11fip1,ENSMUSG00000031488,0,-0.861479490221035,-0.91098446678819,-4.30270008352562,-4.51443792274099,0,-0.614915597114552,-0.790360744462211,-2.36921809733623,-3.32469153265494,-5.07005971619143
4930523C07Rik,ENSMUSG00000090394,0,-0.932016795412912,-1.24375444111764,-3.79680915379566,-4.60593241069982,0,-0.46963581018421,-0.802414338568154,-1.85542952471152,-3.17195604474136,-3.6044771237843
Rrad,ENSMUSG00000031880,0,-1.32653616901965,-1.580582164305,-3.84099470867155,-3.82612478063925,0,-0.824612330803292,-0.945083415461505,-1.82419956521672,-3.03523695643683,-3.9457654437996
Mir17hg,ENSMUSG00000089726,0,-1.98087548930304,-2.60735598802303,-2.67651492007795,-3.06127347569493,0,-2.19630276647457,-2.9437234243781,-3.32328447180206,-4.40823873302669,-4.86193649385203
Micall2,ENSMUSG00000036718,0,-0.968715612496389,-1.18973570878001,-3.54362476075501,-4.59077868558877,0,-0.198008943753841,-0.289479540148601,-1.5945314679438,-3.35757485564685,-3.72856611029972
Gadd45b,ENSMUSG00000015312,0,-1.00571964041466,-1.71647668150424,-3.18902992877293,-4.34604137322858,0,-0.990953296878484,-1.66728363725912,-2.58509032079018,-3.62933947892924,-4.15499219188345
Birc3,ENSMUSG00000032000,0,-1.08746764266649,-1.55858314786228,-3.29994858025513,-4.20552663757938,0,-0.740432428810559,-0.970747114563852,-1.82195930413683,-3.41291588772131,-3.94653157941927
Zc3h12a,ENSMUSG00000042677,0,-1.82602546009065,-2.14679343391493,-2.79816125681719,-3.16599827339275,0,-0.84543943337038,-0.758660612186044,-1.52429592115778,-1.91153015609453,-1.70916438287396
Arid5a,ENSMUSG00000037447,0,-0.971711728438506,-1.12729544430353,-3.64497574592596,-4.11076983353383,0,-0.774872265274635,-1.46582118124915,-2.37708983105299,-3.56417305820522,-4.77651536534293
Rasl12,ENSMUSG00000041696,0,-1.19927745423268,-2.09165863683892,-2.83738943939533,-3.6920476688318,0,0,-1.15719620262452,-0.808886422043786,-0.885849354213488,-2.28972460952566
Ptger2,ENSMUSG00000037759,0,-1.62394218439314,-1.78423375010711,-3.09681825520916,-3.26631572124995,0,-1.56178081553126,-0.605600872327607,-2.21147884021377,-3.1340985715449,-1.89072730851857
Rel,ENSMUSG00000020275,0,-1.06740907876182,-1.71224629067058,-3.21579925505588,-3.71885063711813,0,-0.864454713864326,-1.35614335659588,-2.17036187368571,-2.85472837838482,-2.71046929532324
Zbtb46,ENSMUSG00000027583,0,-1.49953135216886,-1.62226606437137,-2.80321203836685,-3.64023113857267,0,-0.385141267130274,-0.19083049756509,-1.0195269427226,-1.81803294787104,-1.91768702795857
