"","rmsd","n","delta","gene","cluster","kb","kt","Kd","k_deg","tau"
"1",0.106594379687689,6,-0.0497383994423224,"Exoc3l4",9,0.0139333583541261,0.106769549163752,0.657318059811923,0.00395417841888749,28.0406272932324
"2",0.108508321479966,3,-0.0012095971945269,"Gsap",5,0.0375112412910464,0.212537128512537,0.281944563240913,0.00476417915743024,73.0530526242042
"3",0.118808507861055,3,-0.0141505042541945,"Slc6a12",9,0.00665193852776623,1.26321799219872,2.45739020221428,0.00245219579288791,60.0313614273653
"4",0.129705465099842,2,-0.00668397208946409,"Cd274",9,0.0704683226452839,0.302113415605152,0.293781018326785,0.00583324719136367,46.5317278332284
"5",0.144294440073542,3,-0.0586121705217746,"Egln3",9,0.0336427969967974,0.215716180849144,0.823555908929591,0.00551802292594646,45.4768413328649
"6",0.156098176485451,5,-0.0914557141637284,"Irg1",7,0.001,45.0683789407333,1.88419892743556,0.00609618742923847,52.8315305109822
"7",0.177934004999937,3,-0.0484687412333343,"Slfn2",3,0.00135754306719566,16.4237519968592,8.99530019085642,0.0123450021207324,26.5540490339287
"8",0.204363067256051,2,-0.0316914483538771,"Rhof",2,0.00134263676763367,7.88075577189752,29.9820431393225,0.0107148056345075,26.6526235173203
"9",0.384434167546951,6,-0.028340458445452,"Ifnb1",6,0.001,1000,0.180354455382268,0.000483980137484918,0.000260640609565035
