"","nrmsd","kb","kt","Kd","k_deg","tau","TS"
"Zbtb10",0.322169524871944,0.00145693038149021,5.71836993340305,999.999999808056,0.0121746436505966,4.47597452448345,480
"Itpkc",0.191758804355817,0.00553708320436841,6.47620403173882,6.66935292305197,0.0193273996822799,25.4121987881563,480
"Klf10",0.185186445470257,0.0010001771210289,414.818539564857,34.3112186593802,0.0313043937562026,37.2533768473409,480
"Irf1",0.214351529511793,0.00390165221434085,4.66685657968844,2.79102689536916,0.0188867125831999,20.635609530818,480
"Rel",0.194408297982934,0.00100005835005709,22.6807121744214,7.33409293530318,0.0193273996822799,32.3230162406538,480
"Gadd45b",0.169492603969753,0.00100000002511525,26.7826593054122,15.1119410189154,0.0219042401477075,22.8537997477558,480
"Pim1",0.168015326203558,0.00116671952852825,16.9187656706583,9.26904544094779,0.0146295822239872,4.42590515043074,480
"ENSMUSG00000097418",0.336222834812928,0.0347961564414762,0.529387740431072,0.170485273082682,0.00630865141970549,3.71912881719392e-05,480
"Zc3h12c",0.254682424177167,0.0014487124317306,5.9586090861235,602.223374819791,0.00921004990919246,32.3992889536467,480
"Cxcl10",0.217067305125876,0.00291256548024226,49.0797377954408,2.84763380496612,0.00676885221965734,10.2984028091207,480
"Cgn",0.278223592306598,0.0406810186175748,0.25852655668924,0.225104986193442,0.00475504610904357,31.1053404818182,480
"Pdgfb",0.160944931751108,0.00622084737721673,0.331146345876754,0.802042981701381,0.0127017358949185,62.5516123457254,480
"Sik1",0.188881909243382,0.0480661782068261,0.175078850622689,0.508875532251822,0.0263871976027728,43.7757963519737,480
"Kcnk10",0.175942849051523,0.00160906040057426,1.47258166031379,6.32606181226028,0.0184682597230865,93.8400627384562,480
"Ccl1",0.197313779780458,0.00101465281430203,481.103624300878,0.634275798905316,0.00895175019683548,54.5713864531119,480
"Wnt11",0.188571997813946,0.00452263308726423,5.59743172188133,239.26678796473,0.0179469276799452,83.0998322844762,480
"Angptl4",0.138158247537735,0.016647323673332,0.925561956819627,1.62387842394084,0.00866885420392482,65.1930782015059,480
"Bdkrb2",0.151576942933463,0.00122893974067912,5.24082739651423,18.3912104491769,0.0168018403857021,90.8031164054046,480
"Icam1",0.149211813287392,0.0352876235287339,1.23218987730017,0.785844461043946,0.00578593521738959,50.7755145353224,480
"Nfkb1",0.153806891571687,0.0193296413984099,0.507058121064732,1.11001109957212,0.00771763889248203,58.6499042699555,480
