gene,nRMSD,k_1,k_2,Kd1,Kd2,n1,n2,n3,kdeg
Ripk2,0.076086604,0.016009836,58.3543342,331.9369811,0.002003386,3,3,3,0.014697784
Sdc4,0.188581615,21.71256088,34.52056488,1.132658307,0.007749411,3,3,3,0.006427592
Serpina3g,0.063768519,126.6742023,0.002944692,0.001977868,0.112222452,3,3,3,0.015257184
Sik1,0.103708614,0.013785386,3.00308989,1.583779833,0.001000654,3,3,3,0.013233487
Slc39a4,0.05797266,322.9931424,0.001,0.052998034,0.017057578,3,3,3,0.015047247
Slc6a12,0.413934424,0.005750094,0.001000002,4.043449835,0.002780491,3,3,3,0.572618205
Slc7a2,0.116768048,0.023450423,0.428604545,4.263893835,0.001,3,3,3,0.008786796
Slco2a1,0.067775639,127.8934426,0.003177259,0.005770491,0.076999179,3,3,3,0.005956805
Slco3a1,0.121050776,570.4712099,0.001961459,395.0785375,0.010665224,3,3,3,0.01229417
Slfn2,0.141460921,10.02946227,0.038066147,2.331125765,0.003880205,3,3,3,0.030189402
Sod2,0.106956275,4.175625234,0.002479929,165.9692621,0.31678315,3,3,3,1.386294361
St3gal1,0.218251264,23.39648965,0.003003156,736.1646815,1.34957368,3,3,3,0.016466633
Timp1,0.056709239,0.024459105,0.202722886,2.979621931,0.001225174,3,3,3,0.004684127
Tmem132e,0.055710905,0.001111283,30.06916313,339.6461537,0.029037712,3,3,3,0.014776549
Tmem158,0.109606226,3.297066132,6.176605549,0.047780004,0.001009234,3,3,3,0.001905046
Tnfaip2,0.052186319,0.014531088,39.66768795,325.1606973,0.013165619,3,3,3,0.022475739
Tnfsf11,0.078845612,0.055504968,0.254648672,4.021727335,0.001967607,3,3,3,0.016519929
Tnip1,0.061861501,0.001,0.010525466,2.81160485,0.753942075,3,3,3,0.011338246
Trim47,0.163259046,599.839724,0.006431876,0.007038566,316.4590323,3,3,3,0.044217997
U90926,0.075908339,1000,0.001000434,0.096393537,0.012515624,3,3,3,0.014389814
Wnt11,0.107025061,0.001,0.015866112,2.57523206,0.086660031,3,3,3,0.015145896
Zbtb10,0.198726665,0.043888117,183.3468527,2.205712174,0.001,3,3,3,0.02819554
Zc3h12c,0.106191385,844.9210015,0.0295096,0.003857419,0.036433796,3,3,3,0.005267371
